date,name,min_temp,max_temp,max_gust
2020-08-18,EAST HAMPTON AIRPORT,68.1,69.8,15.0
2020-08-17,EAST HAMPTON AIRPORT,67.7,75.9,18.1
2020-08-16,EAST HAMPTON AIRPORT,67.5,68.9,15.0
2020-08-15,EAST HAMPTON AIRPORT,71.2,74.3,
2020-08-14,EAST HAMPTON AIRPORT,75.5,84.2,18.1
2020-08-13,EAST HAMPTON AIRPORT,76.5,81.9,
2020-08-12,EAST HAMPTON AIRPORT,75.4,76.1,15.0
2020-08-11,EAST HAMPTON AIRPORT,75.9,85.3,15.9
2020-08-10,EAST HAMPTON AIRPORT,72.3,72.9,
2020-08-09,EAST HAMPTON AIRPORT,65.7,69.8,
2020-08-08,EAST HAMPTON AIRPORT,68.7,69.8,
2020-08-07,EAST HAMPTON AIRPORT,68.2,80.4,14.0
2020-08-06,EAST HAMPTON AIRPORT,70.2,73.9,
2020-08-05,EAST HAMPTON AIRPORT,74.9,81.7,22.0
2020-08-04,EAST HAMPTON AIRPORT,76.2,87.4,38.1
2020-08-03,EAST HAMPTON AIRPORT,79.8,87.4,21.0
2020-08-02,EAST HAMPTON AIRPORT,73.9,74.3,
2020-08-01,EAST HAMPTON AIRPORT,72.4,85.3,
2020-07-31,EAST HAMPTON AIRPORT,73.0,87.1,24.1
2020-07-30,EAST HAMPTON AIRPORT,73.6,75.0,
2020-07-29,EAST HAMPTON AIRPORT,76.8,91.9,
2020-07-28,EAST HAMPTON AIRPORT,79.1,80.8,15.0
2020-07-27,EAST HAMPTON AIRPORT,80.1,91.0,17.1
2020-07-26,EAST HAMPTON AIRPORT,75.2,75.4,14.0
2020-07-25,EAST HAMPTON AIRPORT,73.9,84.9,15.0
2020-07-24,EAST HAMPTON AIRPORT,73.9,86.7,28.0
2020-07-23,EAST HAMPTON AIRPORT,74.7,77.5,
2020-07-22,EAST HAMPTON AIRPORT,73.0,77.0,
2020-07-21,EAST HAMPTON AIRPORT,75.2,80.6,
2020-07-20,EAST HAMPTON AIRPORT,72.5,72.9,15.9
2020-07-19,EAST HAMPTON AIRPORT,75.3,84.6,19.0
2020-07-18,EAST HAMPTON AIRPORT,75.8,84.0,
2020-07-17,EAST HAMPTON AIRPORT,64.7,65.7,
2020-07-16,EAST HAMPTON AIRPORT,65.9,75.6,15.9
2020-07-15,EAST HAMPTON AIRPORT,67.6,70.7,
2020-07-14,EAST HAMPTON AIRPORT,70.0,74.3,
2020-07-13,EAST HAMPTON AIRPORT,73.0,75.0,
2020-07-12,EAST HAMPTON AIRPORT,71.6,72.5,15.0
2020-07-11,EAST HAMPTON AIRPORT,72.4,73.6,20.0
2020-07-10,EAST HAMPTON AIRPORT,72.3,74.3,
2020-07-09,EAST HAMPTON AIRPORT,72.3,73.6,
2020-07-08,EAST HAMPTON AIRPORT,69.8,70.7,
2020-07-07,EAST HAMPTON AIRPORT,67.0,83.5,15.0
2020-07-06,EAST HAMPTON AIRPORT,71.4,71.6,
2020-07-05,EAST HAMPTON AIRPORT,70.9,77.9,15.9
2020-07-04,EAST HAMPTON AIRPORT,68.2,82.0,
2020-07-03,EAST HAMPTON AIRPORT,74.2,82.0,14.0
2020-07-02,EAST HAMPTON AIRPORT,71.4,80.2,
2020-07-01,EAST HAMPTON AIRPORT,66.9,76.6,15.0
2020-06-30,EAST HAMPTON AIRPORT,62.7,66.4,
2020-06-29,EAST HAMPTON AIRPORT,69.5,71.4,
2020-06-28,EAST HAMPTON AIRPORT,67.8,70.7,
2020-06-27,EAST HAMPTON AIRPORT,68.8,73.0,
2020-06-26,EAST HAMPTON AIRPORT,69.6,71.1,
2020-06-25,EAST HAMPTON AIRPORT,64.8,72.9,
2020-06-24,EAST HAMPTON AIRPORT,73.3,84.4,15.0
2020-06-23,EAST HAMPTON AIRPORT,68.9,86.5,14.0
2020-06-22,EAST HAMPTON AIRPORT,72.4,86.5,
2020-06-21,EAST HAMPTON AIRPORT,65.5,68.0,
2020-06-20,EAST HAMPTON AIRPORT,69.8,80.4,15.9
2020-06-19,EAST HAMPTON AIRPORT,67.0,76.8,
2020-06-18,EAST HAMPTON AIRPORT,63.7,71.6,
2020-06-17,EAST HAMPTON AIRPORT,56.5,61.7,
2020-06-16,EAST HAMPTON AIRPORT,59.8,72.3,20.0
2020-06-15,EAST HAMPTON AIRPORT,59.5,70.2,19.0
2020-06-14,EAST HAMPTON AIRPORT,61.2,71.4,15.9
2020-06-13,EAST HAMPTON AIRPORT,64.7,81.9,17.1
2020-06-12,EAST HAMPTON AIRPORT,69.1,81.9,15.9
2020-06-11,EAST HAMPTON AIRPORT,63.9,64.6,14.0
2020-06-10,EAST HAMPTON AIRPORT,66.5,80.1,15.0
2020-06-09,EAST HAMPTON AIRPORT,66.1,80.1,22.9
2020-06-08,EAST HAMPTON AIRPORT,54.5,66.2,
2020-06-07,EAST HAMPTON AIRPORT,66.4,78.4,22.0
2020-06-06,EAST HAMPTON AIRPORT,68.1,78.4,15.0
2020-06-05,EAST HAMPTON AIRPORT,63.8,66.4,
2020-06-04,EAST HAMPTON AIRPORT,64.4,67.5,17.1
2020-06-03,EAST HAMPTON AIRPORT,64.5,75.2,19.0
2020-06-02,EAST HAMPTON AIRPORT,48.4,54.1,
2020-06-01,EAST HAMPTON AIRPORT,55.0,67.5,20.0
2020-05-31,EAST HAMPTON AIRPORT,62.8,77.9,22.0
2020-05-30,EAST HAMPTON AIRPORT,60.0,60.8,18.1
2020-05-29,EAST HAMPTON AIRPORT,61.9,63.7,19.0
2020-05-28,EAST HAMPTON AIRPORT,59.6,60.3,
2020-05-27,EAST HAMPTON AIRPORT,60.2,69.4,
2020-05-26,EAST HAMPTON AIRPORT,59.2,69.3,
2020-05-25,EAST HAMPTON AIRPORT,55.3,65.3,15.9
2020-05-24,EAST HAMPTON AIRPORT,53.4,70.3,21.0
2020-05-23,EAST HAMPTON AIRPORT,60.8,71.4,22.9
2020-05-22,EAST HAMPTON AIRPORT,58.1,71.4,17.1
2020-05-21,EAST HAMPTON AIRPORT,47.2,58.8,
2020-05-20,EAST HAMPTON AIRPORT,51.7,61.7,21.0
2020-05-19,EAST HAMPTON AIRPORT,55.2,65.1,29.9
2020-05-18,EAST HAMPTON AIRPORT,49.1,49.6,
2020-05-17,EAST HAMPTON AIRPORT,51.8,57.2,19.0
2020-05-16,EAST HAMPTON AIRPORT,63.2,72.7,21.0
2020-05-15,EAST HAMPTON AIRPORT,58.1,73.9,21.0
2020-05-14,EAST HAMPTON AIRPORT,40.0,46.9,15.9
2020-05-13,EAST HAMPTON AIRPORT,47.8,57.2,22.9
2020-05-12,EAST HAMPTON AIRPORT,47.4,50.4,21.0
2020-05-11,EAST HAMPTON AIRPORT,49.4,56.7,25.1
2020-05-10,EAST HAMPTON AIRPORT,44.8,55.6,31.1
2020-05-09,EAST HAMPTON AIRPORT,41.4,56.7,33.0
2020-05-08,EAST HAMPTON AIRPORT,50.6,62.8,17.1
2020-05-07,EAST HAMPTON AIRPORT,39.2,41.4,
2020-05-06,EAST HAMPTON AIRPORT,45.6,57.9,20.0
2020-05-05,EAST HAMPTON AIRPORT,50.0,53.6,21.0
2020-05-04,EAST HAMPTON AIRPORT,56.1,64.4,18.1
2020-05-03,EAST HAMPTON AIRPORT,54.6,69.1,20.0
2020-05-02,EAST HAMPTON AIRPORT,56.9,68.4,25.1
2020-05-01,EAST HAMPTON AIRPORT,51.2,52.5,25.1
2020-04-30,EAST HAMPTON AIRPORT,47.0,53.4,26.0
2020-04-29,EAST HAMPTON AIRPORT,40.3,45.5,
2020-04-28,EAST HAMPTON AIRPORT,41.2,42.4,24.1
2020-04-27,EAST HAMPTON AIRPORT,43.2,48.9,22.0
2020-04-26,EAST HAMPTON AIRPORT,42.7,45.7,
2020-04-25,EAST HAMPTON AIRPORT,40.1,44.8,
2020-04-24,EAST HAMPTON AIRPORT,42.1,43.7,
2020-04-23,EAST HAMPTON AIRPORT,41.0,43.2,18.1
2020-04-22,EAST HAMPTON AIRPORT,39.1,41.0,22.9
2020-04-21,EAST HAMPTON AIRPORT,40.5,53.1,31.1
